Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
78,Cpd 78: 21.105,42095,130.86,Balloons_Sample_17_USSB_14_2,21.175,5819,11,130.86,21.105,21.067,0.109
79,Cpd 79: 21.216,72845,69.02,Balloons_Sample_17_USSB_14_2,21.295,12847,16,69.02,21.216,21.172,0.124
80,Cpd 80: 21.485,58920,85.07,Balloons_Sample_17_USSB_14_2,21.537,5472,16,85.07,21.485,21.415,0.122
81,Cpd 81: 21.914,99004,71.1,Balloons_Sample_17_USSB_14_2,21.985,9195,20,71.1,21.914,21.865,0.12
82,Cpd 82: 21.950,88486,57.07,Balloons_Sample_17_USSB_14_2,22.021,14411,16,57.07,21.95,21.922,0.099
83,Cpd 83: 22.241,91792,111.97,Balloons_Sample_17_USSB_14_2,22.281,10146,15,111.97,22.241,22.201,0.08
84,Cpd 84: 22.421,2078336,104,Balloons_Sample_17_USSB_14_2,22.504,436646,13,104,22.421,22.384,0.12
85,Cpd 85: 22.520,92301,57.07,Balloons_Sample_17_USSB_14_2,22.563,7556,9,57.07,22.52,22.45,0.113
86,Cpd 86: 22.849,96395,57.07,Balloons_Sample_17_USSB_14_2,22.91,12974,15,57.07,22.849,22.795,0.114
87,Cpd 87: 22.993,70439,69.02,Balloons_Sample_17_USSB_14_2,23.053,4113,17,69.02,22.993,22.942,0.111
88,Cpd 88: 23.090,71397,104.89,Balloons_Sample_17_USSB_14_2,23.169,18240,8,104.89,23.09,23.057,0.113
89,Cpd 89: 23.167,71369,117.93,Balloons_Sample_17_USSB_14_2,23.242,13182,10,117.93,23.167,23.129,0.113
90,Cpd 90: 23.566,1061300,190.9,Balloons_Sample_17_USSB_14_2,23.644,286606,25,190.9,23.566,23.532,0.113
91,Cpd 91: 23.695,129862,57.07,Balloons_Sample_17_USSB_14_2,23.743,17891,14,57.07,23.695,23.621,0.122
92,Cpd 92: 23.978,54303,126,Balloons_Sample_17_USSB_14_2,24.089,12431,9,126,23.978,23.946,0.143
93,Cpd 93: 24.041,532119,113.04,Balloons_Sample_17_USSB_14_2,24.133,126512,16,113.04,24.041,24.007,0.126
94,Cpd 94: 24.118,186215,71.1,Balloons_Sample_17_USSB_14_2,24.171,41345,24,71.1,24.118,24.075,0.095
95,Cpd 95: 24.181,174972,168.97,Balloons_Sample_17_USSB_14_2,24.238,30872,26,168.97,24.181,24.142,0.095
96,Cpd 96: 24.385,205496,143.97,Balloons_Sample_17_USSB_14_2,24.457,44982,19,143.97,24.385,24.348,0.109
97,Cpd 97: 24.444,77503,111.97,Balloons_Sample_17_USSB_14_2,24.476,18513,12,111.97,24.444,24.408,0.069
98,Cpd 98: 24.514,103450,71.1,Balloons_Sample_17_USSB_14_2,24.595,12729,16,71.1,24.514,24.444,0.151
99,Cpd 99: 24.671,193803,109.98,Balloons_Sample_17_USSB_14_2,24.751,21363,27,109.98,24.671,24.633,0.118
100,Cpd 100: 24.711,355211,71.1,Balloons_Sample_17_USSB_14_2,24.783,15609,24,71.1,24.711,24.579,0.204
101,Cpd 101: 24.818,65282,85.07,Balloons_Sample_17_USSB_14_2,24.864,10950,9,85.07,24.818,24.783,0.08
102,Cpd 102: 24.834,213929,71.1,Balloons_Sample_17_USSB_14_2,24.898,16789,11,71.1,24.834,24.753,0.145
103,Cpd 103: 24.860,49171,85.07,Balloons_Sample_17_USSB_14_2,24.929,10801,11,85.07,24.86,24.831,0.097
104,Cpd 104: 24.873,122989,71.1,Balloons_Sample_17_USSB_14_2,24.946,14595,12,71.1,24.873,24.831,0.115
105,Cpd 105: 25.012,45682,91,Balloons_Sample_17_USSB_14_2,25.056,4608,13,91,25.012,24.942,0.115
