Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
102,Cpd 102: 27.554,164520,71.03,PDS_Sample_3_USE_03_3,27.644,8445,12,71.03,27.554,27.493,0.15
103,Cpd 103: 27.702,591375,56.99,PDS_Sample_3_USE_03_3,27.779,17519,39,56.99,27.702,27.632,0.147
104,Cpd 104: 28.456,78741,56.99,PDS_Sample_3_USE_03_3,28.549,5145,11,56.99,28.456,28.408,0.141
105,Cpd 105: 28.531,152184,99.04,PDS_Sample_3_USE_03_3,28.665,7220,11,99.04,28.531,28.469,0.196
106,Cpd 106: 28.545,42537,71.03,PDS_Sample_3_USE_03_3,28.619,5787,5,71.03,28.545,28.49,0.13
107,Cpd 107: 28.922,47225,55,PDS_Sample_3_USE_03_3,28.975,3874,8,55,28.922,28.867,0.109
108,Cpd 108: 29.202,62688,40.98,PDS_Sample_3_USE_03_3,29.282,2783,11,40.98,29.202,29.124,0.158
109,Cpd 109: 29.430,42429,120.77,PDS_Sample_3_USE_03_3,29.461,3502,10,120.77,29.43,29.39,0.07
110,Cpd 110: 29.449,4157140,56.99,PDS_Sample_3_USE_03_3,29.608,83951,70,56.99,29.449,29.368,0.24
111,Cpd 111: 29.772,179064,42.99,PDS_Sample_3_USE_03_3,29.821,6505,25,42.99,29.772,29.716,0.105
112,Cpd 112: 29.797,68414,56.99,PDS_Sample_3_USE_03_3,29.869,6605,9,56.99,29.797,29.752,0.116
113,Cpd 113: 29.798,52155,125.03,PDS_Sample_3_USE_03_3,29.876,4535,7,125.03,29.798,29.745,0.131
