Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
133,Cpd 133: 26.357,54643,241.97,FPW_Sample_5_USE_13_1,26.394,5040,14,241.97,26.357,26.314,0.08
134,Cpd 134: 26.359,44511,114.89,FPW_Sample_5_USE_13_1,26.41,4596,13,114.89,26.359,26.314,0.096
135,Cpd 135: 26.498,44828,241.97,FPW_Sample_5_USE_13_1,26.559,3958,14,241.97,26.498,26.469,0.09
136,Cpd 136: 26.601,87233,57.09,FPW_Sample_5_USE_13_1,26.63,8017,13,57.09,26.601,26.57,0.059
137,Cpd 137: 26.964,120838,106.01,FPW_Sample_5_USE_13_1,27.026,9047,14,106.01,26.964,26.917,0.109
138,Cpd 138: 27.283,54544,73.86,FPW_Sample_5_USE_13_1,27.339,3448,13,73.86,27.283,27.224,0.115
139,Cpd 139: 27.457,315935,69.07,FPW_Sample_5_USE_13_1,27.473,13642,23,69.07,27.457,27.425,0.048
140,Cpd 140: 27.490,79882,149,FPW_Sample_5_USE_13_1,27.504,10502,8,149,27.49,27.454,0.05
141,Cpd 141: 27.516,94326,149,FPW_Sample_5_USE_13_1,27.58,10880,16,149,27.516,27.471,0.109
142,Cpd 142: 27.571,251251,71.1,FPW_Sample_5_USE_13_1,27.62,10349,26,71.1,27.571,27.53,0.09
143,Cpd 143: 27.694,205544,69.07,FPW_Sample_5_USE_13_1,27.743,7612,30,69.07,27.694,27.63,0.113
144,Cpd 144: 27.844,286057,69.07,FPW_Sample_5_USE_13_1,28.058,13391,24,69.07,27.844,27.718,0.34
145,Cpd 145: 27.957,127124,111.09,FPW_Sample_5_USE_13_1,28.056,8486,12,111.09,27.957,27.917,0.14
146,Cpd 146: 27.998,162417,57.09,FPW_Sample_5_USE_13_1,28.064,13463,11,57.09,27.998,27.934,0.13
147,Cpd 147: 28.179,129369,167,FPW_Sample_5_USE_13_1,28.244,15584,14,167,28.179,28.123,0.12
148,Cpd 148: 28.208,140655,97.09,FPW_Sample_5_USE_13_1,28.385,5726,12,97.09,28.208,28.112,0.273
149,Cpd 149: 28.259,1159997,149,FPW_Sample_5_USE_13_1,28.311,31628,23,149,28.259,28.221,0.09
150,Cpd 150: 28.291,190286,167,FPW_Sample_5_USE_13_1,28.295,21947,10,167,28.291,28.284,0.011
151,Cpd 151: 28.316,131772,149,FPW_Sample_5_USE_13_1,28.345,24932,9,149,28.316,28.311,0.034
152,Cpd 152: 28.353,95068,149,FPW_Sample_5_USE_13_1,28.36,22978,11,149,28.353,28.336,0.025
153,Cpd 153: 28.368,133384,149,FPW_Sample_5_USE_13_1,28.427,22960,5,149,28.368,28.36,0.067
154,Cpd 154: 28.423,52318,167,FPW_Sample_5_USE_13_1,28.447,17792,6,167,28.423,28.395,0.052
155,Cpd 155: 28.437,70044,149,FPW_Sample_5_USE_13_1,28.471,20257,9,149,28.437,28.404,0.067
156,Cpd 156: 28.458,85518,167,FPW_Sample_5_USE_13_1,28.487,16259,16,167,28.458,28.439,0.048
157,Cpd 157: 28.481,128419,149,FPW_Sample_5_USE_13_1,28.575,15598,7,149,28.481,28.41,0.164
158,Cpd 158: 28.529,69656,71.1,FPW_Sample_5_USE_13_1,28.624,5252,12,71.1,28.529,28.485,0.14
159,Cpd 159: 28.759,75693,69.07,FPW_Sample_5_USE_13_1,28.812,4778,16,69.07,28.759,28.697,0.115
160,Cpd 160: 28.770,61167,69.07,FPW_Sample_5_USE_13_1,28.854,4778,14,69.07,28.77,28.697,0.157
161,Cpd 161: 28.941,169934,149,FPW_Sample_5_USE_13_1,29.024,24311,8,149,28.941,28.862,0.163
162,Cpd 162: 28.971,56569,149,FPW_Sample_5_USE_13_1,28.976,26337,8,149,28.971,28.953,0.023
163,Cpd 163: 28.993,109903,149,FPW_Sample_5_USE_13_1,29.011,30190,6,149,28.993,28.961,0.05
164,Cpd 164: 29.029,101760,149,FPW_Sample_5_USE_13_1,29.051,33142,10,149,29.029,28.997,0.054
165,Cpd 165: 29.074,175441,149,FPW_Sample_5_USE_13_1,29.08,35444,8,149,29.074,29.053,0.027
166,Cpd 166: 29.084,141089,149,FPW_Sample_5_USE_13_1,29.101,35169,9,149,29.084,29.078,0.023
167,Cpd 167: 29.110,232312,149,FPW_Sample_5_USE_13_1,29.129,34505,7,149,29.11,29.101,0.029
168,Cpd 168: 29.154,196167,167,FPW_Sample_5_USE_13_1,29.244,22660,9,167,29.154,28.928,0.316
169,Cpd 169: 29.156,211825,167,FPW_Sample_5_USE_13_1,29.244,22660,11,167,29.156,28.928,0.316
170,Cpd 170: 29.200,61844,127.07,FPW_Sample_5_USE_13_1,29.265,5746,9,127.07,29.2,29.125,0.14
171,Cpd 171: 29.276,90878,149,FPW_Sample_5_USE_13_1,29.418,16798,7,149,29.276,29.259,0.159
172,Cpd 172: 29.303,47822,167,FPW_Sample_5_USE_13_1,29.363,9741,11,167,29.303,29.267,0.096
173,Cpd 173: 29.755,413435,149,FPW_Sample_5_USE_13_1,29.781,16840,18,149,29.755,29.737,0.044
174,Cpd 174: 29.811,80780,149,FPW_Sample_5_USE_13_1,29.823,16448,9,149,29.811,29.785,0.038
