Cpd,Label,Area,Base Peak,File,End,Height,Ions,m/z,RT,Start,Width
94,Cpd 94: 26.588,137331,57.06,MPW_Sample_4_USE_20_1,26.621,11714,13,57.06,26.588,26.543,0.078
95,Cpd 95: 27.269,43395,57.95,MPW_Sample_4_USE_20_1,27.325,4732,9,57.95,27.269,27.212,0.113
96,Cpd 96: 27.512,121268,82.02,MPW_Sample_4_USE_20_1,27.569,4443,20,82.02,27.512,27.455,0.114
97,Cpd 97: 27.785,461099,82.99,MPW_Sample_4_USE_20_1,27.8,16703,24,82.99,27.785,27.762,0.038
98,Cpd 98: 27.801,284020,69.03,MPW_Sample_4_USE_20_1,27.84,15852,13,69.03,27.801,27.773,0.067
99,Cpd 99: 27.809,162052,69.03,MPW_Sample_4_USE_20_1,27.842,15852,12,69.03,27.809,27.739,0.103
100,Cpd 100: 27.894,1037913,55.01,MPW_Sample_4_USE_20_1,28.027,22911,34,55.01,27.894,27.672,0.355
101,Cpd 101: 27.982,61062,43.01,MPW_Sample_4_USE_20_1,28.036,6858,7,43.01,27.982,27.933,0.103
102,Cpd 102: 28.076,584519,97.1,MPW_Sample_4_USE_20_1,28.135,22338,35,97.1,28.076,28.017,0.118
103,Cpd 103: 28.288,42499,85.07,MPW_Sample_4_USE_20_1,28.343,5257,7,85.07,28.288,28.235,0.109
104,Cpd 104: 28.388,165988,82.99,MPW_Sample_4_USE_20_1,28.465,6512,15,82.99,28.388,28.338,0.128
105,Cpd 105: 28.405,77738,97.1,MPW_Sample_4_USE_20_1,28.485,7186,11,97.1,28.405,28.338,0.147
106,Cpd 106: 28.516,44560,85.07,MPW_Sample_4_USE_20_1,28.672,6373,4,85.07,28.516,28.479,0.193
107,Cpd 107: 29.743,82402,97.1,MPW_Sample_4_USE_20_1,29.785,3969,9,97.1,29.743,29.677,0.109
108,Cpd 108: 29.762,174787,57.06,MPW_Sample_4_USE_20_1,29.823,12451,11,57.06,29.762,29.677,0.147
109,Cpd 109: 29.783,99929,71.07,MPW_Sample_4_USE_20_1,29.846,11184,11,71.07,29.783,29.715,0.132
110,Cpd 110: 29.935,234924,44,MPW_Sample_4_USE_20_1,29.987,15105,1,44,29.935,29.667,0.32
